0,0,0.05,0.1,0.25,0.5,1,1.5,2,2.5,5,10,20,0,0.05,0.1,0.25,0.5,1,1.5,2,2.5,5,10,20
0,0.103,0.102,0.098,0.103,0.101,0.099,0.103,0.108,0.099,0.105,0.108,0.114,525,522,523,517,519,516,520,510,525,509,503,508
15,0.103,0.102,0.098,0.102,0.1,0.099,0.103,0.107,0.099,0.105,0.107,0.113,529,522,520,520,515,520,527,506,537,513,510,517
30,0.102,0.101,0.097,0.101,0.099,0.099,0.102,0.106,0.098,0.104,0.106,0.113,530,525,521,524,516,525,531,512,527,518,517,519
45,0.103,0.101,0.097,0.101,0.099,0.099,0.102,0.106,0.098,0.104,0.106,0.113,527,526,520,522,516,523,527,512,513,519,514,510
60,0.102,0.101,0.097,0.101,0.099,0.099,0.102,0.106,0.098,0.104,0.106,0.113,523,521,520,521,513,520,521,513,511,518,511,486
75,0.102,0.101,0.097,0.101,0.099,0.099,0.102,0.106,0.098,0.104,0.106,0.113,523,522,517,519,514,519,496,507,508,515,511,487
90,0.102,0.1,0.097,0.101,0.099,0.098,0.102,0.105,0.098,0.103,0.106,0.112,523,519,514,518,511,518,495,508,509,515,509,484
105,0.102,0.1,0.097,0.101,0.099,0.098,0.102,0.105,0.098,0.103,0.106,0.112,520,517,516,517,512,518,497,506,506,513,508,485
120,0.102,0.1,0.097,0.101,0.099,0.098,0.102,0.105,0.098,0.103,0.106,0.112,519,518,515,517,511,517,494,504,506,514,509,482
135,0.103,0.1,0.097,0.101,0.099,0.098,0.101,0.105,0.098,0.103,0.105,0.112,518,517,514,514,509,517,493,504,505,512,507,484
150,0.103,0.1,0.097,0.101,0.099,0.098,0.101,0.105,0.098,0.103,0.105,0.112,518,517,512,517,509,516,494,504,505,514,510,484
165,0.102,0.1,0.096,0.1,0.099,0.098,0.101,0.105,0.098,0.103,0.106,0.112,517,515,512,513,507,518,495,503,507,512,509,483
180,0.102,0.099,0.096,0.1,0.098,0.098,0.101,0.104,0.098,0.102,0.105,0.112,518,515,511,512,507,517,496,504,506,512,508,483
195,0.102,0.1,0.096,0.1,0.099,0.098,0.101,0.105,0.098,0.102,0.105,0.112,515,514,510,514,508,515,494,502,503,512,509,482
210,0.102,0.1,0.097,0.1,0.099,0.098,0.101,0.105,0.098,0.102,0.105,0.112,517,512,511,515,507,517,493,502,503,510,507,484
225,0.104,0.1,0.097,0.1,0.099,0.098,0.101,0.105,0.098,0.102,0.105,0.112,515,512,510,515,507,516,495,503,502,509,508,483
240,0.102,0.1,0.097,0.1,0.099,0.098,0.101,0.104,0.098,0.102,0.105,0.112,516,512,511,511,506,515,495,503,500,511,508,483
255,0.101,0.099,0.097,0.1,0.098,0.098,0.101,0.104,0.098,0.102,0.105,0.112,516,511,513,513,506,515,493,500,503,511,506,481
270,0.102,0.099,0.097,0.1,0.099,0.098,0.101,0.104,0.098,0.102,0.105,0.112,514,512,510,511,504,515,492,500,501,509,505,481
285,0.102,0.1,0.097,0.1,0.099,0.098,0.101,0.104,0.098,0.102,0.105,0.112,514,510,508,511,505,514,495,500,500,507,504,481
300,0.102,0.099,0.096,0.1,0.099,0.098,0.101,0.104,0.098,0.102,0.105,0.112,515,511,510,511,504,513,493,498,500,506,505,483
315,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.098,0.102,0.105,0.112,514,510,507,511,505,516,494,498,500,509,505,482
330,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.104,0.098,0.102,0.105,0.112,513,510,511,510,502,513,495,498,501,506,504,483
345,0.101,0.099,0.096,0.1,0.099,0.097,0.101,0.103,0.098,0.101,0.105,0.112,513,507,510,511,505,511,495,498,502,506,502,482
360,0.102,0.099,0.096,0.1,0.098,0.097,0.1,0.103,0.097,0.102,0.105,0.111,511,510,507,512,503,512,494,499,499,504,502,481
375,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.098,0.102,0.105,0.111,515,508,507,512,502,512,494,500,502,506,502,482
390,0.103,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.098,0.102,0.105,0.112,512,510,507,511,505,515,495,502,500,504,502,483
405,0.102,0.099,0.096,0.1,0.098,0.097,0.101,0.103,0.097,0.102,0.105,0.111,512,508,508,509,507,513,495,499,498,505,499,485
420,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.097,0.101,0.105,0.111,515,510,510,511,508,513,498,499,498,503,501,483
435,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.097,0.102,0.105,0.112,514,511,511,513,507,514,496,499,499,504,499,484
450,0.102,0.099,0.096,0.1,0.098,0.097,0.1,0.103,0.097,0.101,0.104,0.111,515,512,508,511,509,514,498,501,501,504,502,484
465,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.097,0.101,0.105,0.111,515,511,510,511,506,513,498,501,504,505,500,485
480,0.102,0.098,0.096,0.099,0.098,0.097,0.1,0.103,0.097,0.102,0.104,0.111,512,512,510,513,508,515,496,502,503,504,499,487
495,0.102,0.099,0.096,0.1,0.098,0.098,0.101,0.103,0.097,0.101,0.105,0.111,513,512,509,512,509,514,500,500,500,503,500,486
510,0.103,0.099,0.096,0.099,0.098,0.097,0.1,0.103,0.097,0.101,0.105,0.111,515,511,507,512,510,512,501,501,502,504,497,484
525,0.102,0.099,0.096,0.099,0.098,0.097,0.1,0.102,0.097,0.101,0.104,0.111,513,514,513,510,509,512,501,504,501,503,498,486
540,0.104,0.099,0.096,0.1,0.098,0.098,0.101,0.103,0.098,0.102,0.105,0.112,516,511,511,512,509,513,503,503,502,503,497,485
555,0.102,0.099,0.097,0.1,0.098,0.098,0.101,0.103,0.098,0.102,0.105,0.112,513,513,509,513,511,512,502,504,502,504,497,486
570,0.102,0.098,0.097,0.099,0.098,0.098,0.1,0.102,0.097,0.101,0.105,0.112,514,511,511,512,511,513,505,503,502,502,497,486
585,0.102,0.099,0.096,0.1,0.098,0.098,0.1,0.102,0.098,0.101,0.105,0.111,513,513,509,511,509,513,503,503,502,502,496,487
600,0.101,0.099,0.097,0.1,0.098,0.097,0.1,0.102,0.097,0.101,0.105,0.111,516,514,510,512,512,511,503,504,503,504,497,488
615,0.101,0.099,0.097,0.1,0.098,0.098,0.1,0.102,0.098,0.101,0.105,0.111,514,513,511,512,510,511,504,502,502,504,496,486
630,0.101,0.099,0.097,0.099,0.098,0.098,0.1,0.102,0.097,0.101,0.104,0.111,514,513,511,512,510,512,503,502,503,500,496,485
645,0.102,0.099,0.096,0.1,0.098,0.098,0.1,0.102,0.097,0.101,0.105,0.111,517,511,512,512,510,512,505,504,503,503,494,486
660,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.102,0.097,0.101,0.104,0.111,516,514,510,513,511,514,505,505,505,503,496,487
675,0.101,0.098,0.096,0.099,0.098,0.098,0.1,0.102,0.097,0.101,0.104,0.111,516,513,512,512,510,511,507,504,502,502,494,486
690,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.102,0.097,0.101,0.104,0.111,515,511,512,513,513,512,506,502,504,502,495,488
705,0.101,0.099,0.096,0.099,0.098,0.097,0.1,0.102,0.098,0.101,0.104,0.111,515,513,513,512,513,513,503,504,503,503,494,487
720,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.102,0.097,0.101,0.104,0.111,516,513,512,514,512,513,507,505,503,501,496,491
735,0.101,0.098,0.096,0.099,0.098,0.098,0.1,0.102,0.098,0.101,0.105,0.111,517,511,511,513,513,513,509,505,504,501,494,488
750,0.101,0.098,0.096,0.099,0.098,0.098,0.1,0.102,0.098,0.101,0.104,0.111,517,514,514,514,513,512,508,504,503,502,496,488
765,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.101,0.097,0.101,0.104,0.11,516,512,512,514,511,512,508,506,503,501,496,487
780,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.101,0.097,0.101,0.104,0.11,518,515,514,514,513,512,509,505,504,502,493,490
795,0.102,0.098,0.096,0.099,0.098,0.097,0.1,0.102,0.098,0.101,0.105,0.111,516,514,514,515,512,510,508,506,504,500,494,489
810,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.101,0.098,0.101,0.104,0.111,517,514,513,514,513,511,507,505,503,500,495,488
825,0.101,0.098,0.096,0.099,0.098,0.098,0.1,0.102,0.098,0.101,0.104,0.111,518,514,513,513,515,512,507,507,506,501,494,487
840,0.102,0.098,0.096,0.099,0.098,0.098,0.1,0.102,0.098,0.101,0.105,0.111,516,516,514,514,515,511,508,508,504,500,493,489
855,0.101,0.098,0.096,0.099,0.098,0.097,0.1,0.101,0.097,0.1,0.104,0.111,518,516,512,514,517,512,507,505,506,499,494,488
870,0.101,0.098,0.097,0.099,0.098,0.097,0.1,0.101,0.098,0.101,0.104,0.111,516,515,513,515,516,510,508,508,508,500,492,487
885,0.101,0.098,0.096,0.099,0.097,0.097,0.1,0.101,0.097,0.101,0.104,0.11,515,516,514,515,516,511,509,506,505,500,492,487
900,0.1,0.098,0.096,0.099,0.097,0.097,0.1,0.101,0.097,0.101,0.104,0.111,517,518,513,514,513,511,510,505,505,501,493,486
